Modalité,Effectif
275.0,5232
265.0,5174
259.0,5168
266.0,5114
263.0,5114
272.0,5112
267.0,5104
258.0,5099
255.0,5097
268.0,5092
281.0,5090
253.0,5085
273.0,5085
261.0,5083
271.0,5063
262.0,5063
277.0,5055
254.0,5055
280.0,5050
252.0,5036
256.0,5030
274.0,5027
250.0,5016
284.0,5011
296.0,5009
260.0,5003
287.0,4999
282.0,4997
278.0,4996
249.0,4993
270.0,4991
285.0,4987
269.0,4979
264.0,4975
288.0,4974
289.0,4955
248.0,4950
279.0,4949
276.0,4943
283.0,4941
298.0,4939
286.0,4928
291.0,4926
294.0,4916
257.0,4913
251.0,4900
290.0,4897
243.0,4895
247.0,4894
244.0,4875
238.0,4856
300.0,4855
297.0,4841
246.0,4840
245.0,4839
292.0,4828
302.0,4808
236.0,4802
299.0,4790
241.0,4771
295.0,4770
239.0,4766
242.0,4762
293.0,4755
240.0,4753
237.0,4741
235.0,4731
301.0,4722
312.0,4720
232.0,4705
231.0,4692
306.0,4682
234.0,4681
303.0,4678
228.0,4675
227.0,4642
305.0,4641
233.0,4616
304.0,4601
308.0,4572
229.0,4565
226.0,4561
310.0,4549
313.0,4548
309.0,4547
307.0,4538
225.0,4517
230.0,4505
317.0,4486
314.0,4475
311.0,4457
322.0,4449
223.0,4447
315.0,4439
316.0,4414
319.0,4408
321.0,4392
224.0,4387
318.0,4374
222.0,4350
219.0,4347
221.0,4317
320.0,4303
220.0,4297
218.0,4291
325.0,4275
328.0,4252
330.0,4245
324.0,4221
216.0,4216
215.0,4213
331.0,4181
323.0,4178
332.0,4172
217.0,4170
214.0,4147
329.0,4145
326.0,4132
327.0,4125
336.0,4117
335.0,4115
334.0,4102
213.0,4087
212.0,4061
211.0,4052
333.0,4047
207.0,4018
209.0,4003
339.0,3986
208.0,3929
210.0,3917
341.0,3916
338.0,3883
344.0,3869
337.0,3860
206.0,3832
342.0,3830
340.0,3808
343.0,3807
345.0,3799
346.0,3779
202.0,3739
203.0,3725
347.0,3721
205.0,3709
200.0,3679
349.0,3663
350.0,3660
204.0,3660
348.0,3618
201.0,3614
352.0,3584
199.0,3583
355.0,3569
198.0,3562
356.0,3520
351.0,3480
195.0,3464
353.0,3456
357.0,3446
197.0,3443
354.0,3431
358.0,3428
359.0,3415
196.0,3410
192.0,3383
194.0,3372
360.0,3366
193.0,3351
190.0,3303
189.0,3252
191.0,3217
361.0,3149
187.0,3137
362.0,3125
188.0,3120
364.0,3087
366.0,3053
368.0,3047
363.0,3036
365.0,3028
186.0,3016
370.0,3016
367.0,3012
185.0,3001
369.0,2987
371.0,2970
184.0,2968
183.0,2968
373.0,2910
181.0,2910
372.0,2886
376.0,2867
378.0,2864
374.0,2853
182.0,2849
377.0,2838
179.0,2823
375.0,2814
180.0,2791
380.0,2782
381.0,2759
383.0,2758
388.0,2753
379.0,2719
178.0,2707
384.0,2700
382.0,2684
176.0,2660
177.0,2631
386.0,2625
387.0,2615
175.0,2606
174.0,2603
385.0,2603
391.0,2597
390.0,2544
173.0,2542
393.0,2537
389.0,2530
172.0,2493
171.0,2483
395.0,2471
392.0,2466
394.0,2456
399.0,2449
397.0,2422
396.0,2404
167.0,2354
170.0,2349
168.0,2341
401.0,2331
169.0,2324
398.0,2310
400.0,2299
402.0,2265
404.0,2240
403.0,2235
407.0,2230
406.0,2187
408.0,2185
162.0,2181
166.0,2165
405.0,2157
164.0,2150
413.0,2149
409.0,2146
417.0,2134
160.0,2134
165.0,2129
415.0,2123
163.0,2112
410.0,2107
411.0,2079
412.0,2074
414.0,2068
418.0,2056
158.0,2029
416.0,2025
421.0,2003
161.0,1991
157.0,1958
420.0,1953
419.0,1946
422.0,1927
424.0,1922
159.0,1909
156.0,1901
423.0,1855
154.0,1850
152.0,1840
428.0,1837
427.0,1837
431.0,1835
155.0,1823
426.0,1813
425.0,1805
430.0,1799
429.0,1789
153.0,1773
433.0,1761
435.0,1738
432.0,1723
438.0,1716
434.0,1705
440.0,1665
150.0,1657
151.0,1653
437.0,1650
148.0,1632
443.0,1626
441.0,1618
442.0,1606
436.0,1606
446.0,1603
439.0,1581
444.0,1574
