Modalité,Effectif
296,7589
298,7567
275,7562
312,7518
281,7496
297,7493
284,7487
294,7487
300,7479
302,7456
287,7453
301,7446
295,7433
278,7429
285,7425
289,7400
277,7398
291,7393
286,7392
288,7391
283,7391
280,7382
282,7375
303,7372
266,7371
293,7349
279,7346
306,7343
274,7339
267,7331
272,7329
273,7325
292,7324
308,7324
304,7304
299,7299
276,7289
309,7285
268,7284
305,7283
265,7271
259,7263
290,7257
316,7252
263,7240
322,7231
318,7230
317,7229
314,7222
313,7208
307,7202
270,7200
271,7197
310,7179
315,7174
261,7152
321,7138
262,7134
258,7134
311,7131
319,7115
255,7106
331,7100
328,7098
320,7093
269,7088
264,7084
325,7080
253,7039
260,7035
330,7030
254,7018
256,7000
329,6958
324,6956
257,6954
323,6951
332,6948
327,6941
333,6923
252,6921
334,6901
326,6896
250,6851
335,6843
339,6814
336,6794
249,6783
251,6754
248,6744
341,6742
338,6732
337,6728
243,6725
346,6687
244,6681
247,6672
343,6670
342,6648
246,6645
347,6640
245,6629
345,6609
340,6570
344,6561
238,6550
349,6550
350,6482
352,6475
348,6471
241,6464
239,6449
242,6448
236,6442
240,6436
235,6416
355,6398
356,6381
237,6370
353,6316
234,6302
354,6284
357,6283
358,6270
232,6249
351,6198
231,6195
359,6176
233,6144
360,6132
227,6084
228,6068
229,6057
226,6041
225,5990
230,5981
361,5912
364,5875
362,5855
368,5832
370,5814
363,5807
366,5801
365,5773
367,5753
223,5752
369,5751
224,5742
371,5708
222,5701
220,5696
221,5686
373,5630
372,5628
219,5608
378,5578
376,5569
218,5555
216,5553
377,5552
374,5536
380,5500
217,5491
375,5466
379,5453
215,5432
381,5399
214,5397
383,5361
382,5337
384,5308
213,5251
212,5244
387,5219
388,5211
211,5178
385,5159
391,5152
389,5142
386,5130
209,5121
390,5113
393,5084
207,5051
395,5032
392,4991
399,4979
208,4977
210,4972
397,4959
394,4957
206,4893
400,4781
401,4762
396,4742
205,4741
202,4737
203,4735
398,4724
402,4719
204,4711
404,4699
407,4663
408,4645
403,4639
200,4639
201,4605
409,4600
406,4587
410,4571
405,4540
411,4533
198,4518
199,4515
412,4510
415,4485
417,4428
416,4410
413,4408
195,4363
197,4327
418,4309
196,4304
414,4304
420,4301
193,4269
194,4265
421,4255
192,4242
422,4228
419,4203
191,4111
190,4096
423,4087
425,4073
424,4056
189,4050
427,4045
428,3999
426,3998
429,3986
430,3971
431,3963
432,3926
188,3916
187,3899
435,3896
433,3881
434,3850
438,3843
186,3731
184,3709
436,3702
440,3696
185,3674
183,3668
443,3661
437,3651
439,3642
444,3627
442,3588
182,3563
446,3562
441,3559
181,3544
445,3534
447,3504
180,3464
179,3447
448,3403
452,3400
178,3375
450,3352
449,3341
456,3332
451,3319
453,3316
176,3301
457,3290
458,3259
455,3257
454,3252
177,3216
174,3213
175,3209
459,3181
460,3165
464,3164
465,3134
462,3117
173,3112
463,3103
172,3057
461,3047
467,3044
171,3017
470,2969
468,2956
466,2953
469,2945
471,2914
474,2868
170,2868
167,2863
168,2859
169,2855
472,2828
473,2828
476,2775
475,2770
477,2764
478,2763
480,2718
481,2693
164,2680
